Frame,LFSW,RFSW,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EM10
138,5.1163,0,0.0391,-0.7811,-1.0399,0.0635,0.5517,-0.1172,-0.2246,-0.0391,0.0586,-0.5712
139,5.1163,0,0.0391,-1.0643,-0.8592,-0.0098,0.7762,-0.1269,-0.3613,-0.6151,-0.0635,-2.0944
140,5.1163,0,-0.1269,-0.952,-0.8495,0.0098,0.3759,-0.1416,-0.3222,-1.0643,-0.0488,-1.9479
141,5.1163,0,-0.1172,-1.1131,-1.3816,-0.3906,0.2197,-0.083,-0.1318,-0.5614,-0.0049,-1.1668
142,5.1163,0,-0.0635,-1.489,-1.24,-1.0057,0.0928,-0.083,-0.0391,0.332,0,-0.5028
143,5.1163,0,0.083,-0.6005,-0.249,-0.5419,0.1513,-0.166,-0.1709,0.6884,0.0342,-0.166
144,5.1163,0,-0.0635,0.166,-0.3613,0.4296,0.1367,-0.1904,-0.2099,0.1123,-0.0049,0.0537
145,5.1163,0,-0.1025,-0.0488,-0.4833,0.5565,0.0342,-0.1123,-0.0293,-0.0635,-0.0342,-0.2148
146,5.1163,0,-0.1172,-0.1123,-0.4833,0.3613,0.0879,-0.0928,0.2343,0.0879,0.0635,-0.7665
147,5.1163,0,-0.122,-0.0976,-0.664,-0.4638,0.0342,-0.0195,0.4687,0.2978,0.1806,-0.9813
148,5.1163,0,-0.0635,-0.1904,-0.5028,0.2392,-0.1123,0.0098,0.3369,0.9618,0.2002,-0.7225
149,5.1163,0,-0.0391,-0.1758,-0.2246,-0.4003,-0.0293,0.0098,0.1318,0.5126,0.0635,0.1465
150,5.1163,0,0.0342,0.0342,-0.2587,-0.8104,0.1465,0.0586,0.0928,0,0.0195,0.9862
151,5.1163,0,0.0293,0.0537,-0.4882,0.7616,0.1953,0.0439,0.0244,-0.1758,-0.0488,1.9674
152,5.1163,0,0.1172,-0.0976,-0.3271,0.8495,-0.0439,0.0635,0.0049,-0.1953,-0.1074,1.4695
153,5.1163,0,0.3124,-0.2636,0.0635,0.0732,-0.0049,0.1172,0.0976,-0.8251,-0.0586,-0.5663
154,5.1163,0,0.1855,-0.3661,0.3271,0.1123,-0.0928,0.1172,-0.0683,-1.2156,-0.083,-0.8348
155,5.1163,0,0,-0.2929,0.4491,0.0635,-0.3808,0.1416,-0.0342,-0.62,-0.2148,-0.3515
156,5.1163,0,-0.0879,0.0683,0.7567,-0.0781,-0.3466,0.1367,-0.0244,0.2002,-0.2295,-0.0732
157,5.1163,0,-0.1758,0.1855,0.4345,0.3417,0.0439,0.0391,0.0146,0.3417,-0.0586,0.4003
158,5.1163,0,-0.2929,0.2685,-0.8788,0.4052,0.6395,-0.0098,0.5468,0.371,0.0146,0.6005
159,5.1163,0,-0.5663,0.2978,-1.074,0.2246,0.3954,-0.0293,0.4394,-0.0049,-0.0293,0.2832
160,5.1163,0,-0.205,0.2539,-0.1074,0.1806,-0.205,0.0098,-0.3564,-0.4833,0.0488,-0.4784
161,5.1163,0,0.2832,0.0391,0.2832,0.0879,-0.4394,0,-0.0537,-0.3759,0.166,-0.7811
162,5.1163,0,0.4687,0.0293,0.9959,0.0049,-0.5224,0.0049,0.2148,-0.0781,0.205,-0.0976
163,5.1163,0,0.5077,0.6151,2.0944,-0.0049,-0.454,0.0781,-0.3222,0.288,0.249,0.4931
164,5.1163,0,0.3613,0.786,1.8747,-0.0732,-0.3613,0.0781,0.0586,0.8885,0.2099,0.9373
165,5.1163,0,0.1513,0.6395,0.8983,-0.0732,-0.2197,0.0244,0.2734,1.3377,0.1758,1.4988
166,5.1163,0,-0.083,0.2929,0.0537,-0.0635,-0.1416,-0.0293,0.2099,1.8161,0.0439,2.026
167,5.1163,0,-0.1953,0.3076,0.0439,-0.1806,-0.1465,0.0098,-0.122,0.3906,-0.1172,0.5956
168,5.1163,0,-0.0391,0.4052,0.3661,-0.1904,-0.0781,0.1269,-0.5175,-0.7616,-0.0488,-1.4988
169,5.1163,0,0.2099,0.2392,0.6835,-0.1172,0.0928,0.1172,-0.5175,-0.9032,-0.0098,-2.3434
170,5.1163,0,0.2636,0.2929,0.7323,-0.1904,0.0244,0.1123,0.0488,-0.9129,0.0781,-1.8552
171,5.1163,0,0.1562,0.1758,0.4443,-0.1611,-0.0635,0.1318,-0.2148,-1.2937,0.1318,-1.0252
172,5.1163,0,-0.0098,0.0049,-0.1172,0.0244,-0.0098,0.0879,-0.2636,-1.0838,0.083,-0.7762
173,5.1163,0,-0.0976,-0.1025,-0.4638,-0.1367,0.0439,-0.0049,-0.2636,0.9276,0.1611,-0.3369
174,5.1163,0,-0.0976,-0.1074,-0.3222,-0.5419,0.3076,-0.0439,-0.3857,-0.0928,0.1172,0.0732
